date,year,month,discrete_2prices,price_real_mon_cattle
1995-01-01,1995,1,44.758760469833035,51.23730574012726
1995-02-01,1995,2,44.758760469833035,50.20119677630923
1995-03-01,1995,3,44.758760469833035,47.28271195677688
1995-04-01,1995,4,44.758760469833035,44.38513263158148
1995-05-01,1995,5,44.758760469833035,42.819169125996936
1995-06-01,1995,6,44.758760469833035,41.22449909579621
1995-07-01,1995,7,44.758760469833035,44.73414616085825
1995-08-01,1995,8,44.758760469833035,45.80465690988113
1995-09-01,1995,9,44.758760469833035,44.86701954604009
1995-10-01,1995,10,44.758760469833035,45.424255149984624
1995-11-01,1995,11,44.758760469833035,46.47174122854755
1995-12-01,1995,12,44.758760469833035,41.37908519879388
1996-01-01,1996,1,44.758760469833035,40.0899092001224
1996-02-01,1996,2,44.758760469833035,40.653123806227946
1996-03-01,1996,3,44.758760469833035,39.987138336243945
1996-04-01,1996,4,44.758760469833035,40.59290860753327
1996-05-01,1996,5,44.758760469833035,39.1665168217467
1996-06-01,1996,6,44.758760469833035,39.08400779771128
1996-07-01,1996,7,44.758760469833035,42.09188273422337
1996-08-01,1996,8,44.758760469833035,43.35436411809161
1996-09-01,1996,9,44.758760469833035,42.826632690720004
1996-10-01,1996,10,44.758760469833035,44.21699715193827
1996-11-01,1996,11,44.758760469833035,41.09714366042806
1996-12-01,1996,12,44.758760469833035,39.862286960677174
1997-01-01,1997,1,44.758760469833035,39.54800827634701
1997-02-01,1997,2,44.758760469833035,40.32225738488871
1997-03-01,1997,3,44.758760469833035,40.095254636167525
1997-04-01,1997,4,44.758760469833035,40.894422963737476
1997-05-01,1997,5,44.758760469833035,39.88196397356765
1997-06-01,1997,6,44.758760469833035,39.99418757386009
1997-07-01,1997,7,44.758760469833035,42.37678628362174
1997-08-01,1997,8,44.758760469833035,42.54490452662545
1997-09-01,1997,9,44.758760469833035,41.65670805197947
1997-10-01,1997,10,44.758760469833035,42.42914371984157
1997-11-01,1997,11,44.758760469833035,42.50336037862814
1997-12-01,1997,12,44.758760469833035,42.55810477372473
1998-01-01,1998,1,44.758760469833035,42.13902268541191
1998-02-01,1998,2,44.758760469833035,41.98160958065758
1998-03-01,1998,3,44.758760469833035,42.41630565755806
1998-04-01,1998,4,44.758760469833035,42.554060830849245
1998-05-01,1998,5,44.758760469833035,41.44269279227516
1998-06-01,1998,6,44.758760469833035,40.97202462256401
1998-07-01,1998,7,44.758760469833035,42.26432949461077
1998-08-01,1998,8,44.758760469833035,43.75982362042401
1998-09-01,1998,9,44.758760469833035,46.136498388589445
1998-10-01,1998,10,44.758760469833035,46.10487029144383
1998-11-01,1998,11,44.758760469833035,45.86065783973108
1998-12-01,1998,12,44.758760469833035,45.22450584286506
1999-01-01,1999,1,44.758760469833035,45.0591438019405
1999-02-01,1999,2,44.758760469833035,45.626857674242906
1999-03-01,1999,3,44.758760469833035,44.4685903495537
1999-04-01,1999,4,44.758760469833035,43.340149838011975
1999-05-01,1999,5,44.758760469833035,41.625951361204145
1999-06-01,1999,6,44.758760469833035,41.233948160489504
1999-07-01,1999,7,44.758760469833035,43.259047671287306
1999-08-01,1999,8,44.758760469833035,43.81197604758994
1999-09-01,1999,9,44.758760469833035,45.245116060285255
1999-10-01,1999,10,44.758760469833035,49.58056629381187
1999-11-01,1999,11,44.758760469833035,50.43806625184419
1999-12-01,1999,12,44.758760469833035,48.420164949454104
2000-01-01,2000,1,44.758760469833035,48.67056282807999
2000-02-01,2000,2,44.758760469833035,48.24482498829071
2000-03-01,2000,3,44.758760469833035,45.78930517595933
2000-04-01,2000,4,44.758760469833035,45.874026790413836
2000-05-01,2000,5,44.758760469833035,44.40724705904134
2000-06-01,2000,6,44.758760469833035,45.403865805555284
2000-07-01,2000,7,44.758760469833035,45.72420891548401
2000-08-01,2000,8,44.758760469833035,46.94484402757849
2000-09-01,2000,9,44.758760469833035,46.451572902224406
2000-10-01,2000,10,44.758760469833035,47.36912853201948
2000-11-01,2000,11,44.758760469833035,46.82084906986824
2000-12-01,2000,12,44.758760469833035,45.00267874271266
2001-01-01,2001,1,44.758760469833035,43.736521002111694
2001-02-01,2001,2,44.758760469833035,42.35869995936979
2001-03-01,2001,3,44.758760469833035,42.73532719105151
2001-04-01,2001,4,44.758760469833035,43.620020061454944
2001-05-01,2001,5,44.758760469833035,42.907825372622916
2001-06-01,2001,6,44.758760469833035,41.99403420138485
2001-07-01,2001,7,44.758760469833035,41.746038244701815
2001-08-01,2001,8,44.758760469833035,43.343992367606774
2001-09-01,2001,9,44.758760469833035,43.51643548507715
2001-10-01,2001,10,44.758760469833035,44.99649203689267
2001-11-01,2001,11,44.758760469833035,44.292541473558195
2001-12-01,2001,12,44.758760469833035,44.09772458919614
2002-01-01,2002,1,44.758760469833035,44.052964827430664
2002-02-01,2002,2,44.758760469833035,43.87908751844624
2002-03-01,2002,3,44.758760469833035,43.114799773101566
2002-04-01,2002,4,44.758760469833035,42.04724228051312
2002-05-01,2002,5,44.758760469833035,40.916490117988246
2002-06-01,2002,6,44.758760469833035,40.124503226093324
2002-07-01,2002,7,44.758760469833035,39.455091766709444
2002-08-01,2002,8,44.758760469833035,42.06263192444865
2002-09-01,2002,9,44.758760469833035,41.657053812380184
2002-10-01,2002,10,44.758760469833035,41.04680809602641
2002-11-01,2002,11,44.758760469833035,42.07935653587699
2002-12-01,2002,12,44.758760469833035,40.753633312337406
2003-01-01,2003,1,44.758760469833035,39.680856642858345
2003-02-01,2003,2,44.758760469833035,38.99924220504694
2003-03-01,2003,3,38.299887568435366,38.02487288268982
2003-04-01,2003,4,38.299887568435366,37.340719332217645
2003-05-01,2003,5,38.299887568435366,36.574521195150425
2003-06-01,2003,6,38.299887568435366,37.34300751442694
2003-07-01,2003,7,38.299887568435366,39.23110342224861
2003-08-01,2003,8,38.299887568435366,40.368833942710936
2003-09-01,2003,9,38.299887568435366,41.023742121093946
2003-10-01,2003,10,38.299887568435366,40.99413643891322
2003-11-01,2003,11,38.299887568435366,41.499649169241394
2003-12-01,2003,12,38.299887568435366,40.94221260255298
2004-01-01,2004,1,38.299887568435366,40.555566791404225
2004-02-01,2004,2,38.299887568435366,39.077839924423884
2004-03-01,2004,3,38.299887568435366,37.5057176050835
2004-04-01,2004,4,38.299887568435366,36.49770842977264
2004-05-01,2004,5,38.299887568435366,36.37708070958204
2004-06-01,2004,6,38.299887568435366,36.5050459308888
2004-07-01,2004,7,38.299887568435366,36.444200099557015
2004-08-01,2004,8,38.299887568435366,36.75939734730658
2004-09-01,2004,9,38.299887568435366,36.05504276852175
2004-10-01,2004,10,38.299887568435366,35.219015946191355
2004-11-01,2004,11,38.299887568435366,35.41911726625738
2004-12-01,2004,12,38.299887568435366,35.36699244674631
2005-01-01,2005,1,38.299887568435366,34.67765479938067
2005-02-01,2005,2,38.299887568435366,33.402998094199596
2005-03-01,2005,3,38.299887568435366,32.072290729881566
2005-04-01,2005,4,38.299887568435366,31.16121196350173
2005-05-01,2005,5,38.299887568435366,31.146959485744027
2005-06-01,2005,6,38.299887568435366,31.114417390453273
2005-07-01,2005,7,38.299887568435366,31.24548919315509
2005-08-01,2005,8,38.299887568435366,30.641585514080706
2005-09-01,2005,9,38.299887568435366,30.236101895297846
2005-10-01,2005,10,38.299887568435366,31.534113846764434
2005-11-01,2005,11,38.299887568435366,31.672190512061924
2005-12-01,2005,12,38.299887568435366,30.538074548785172
2006-01-01,2006,1,38.299887568435366,29.02232666169721
2006-02-01,2006,2,38.299887568435366,28.76210021856206
2006-03-01,2006,3,38.299887568435366,28.501748145910767
2006-04-01,2006,4,38.299887568435366,28.53272191871243
2006-05-01,2006,5,38.299887568435366,28.432799933757916
2006-06-01,2006,6,38.299887568435366,27.66424662976679
2006-07-01,2006,7,38.299887568435366,28.31239452790447
2006-08-01,2006,8,38.299887568435366,31.409391900472507
2006-09-01,2006,9,38.299887568435366,32.95144186351836
2006-10-01,2006,10,38.299887568435366,34.70298062340134
2006-11-01,2006,11,38.299887568435366,32.44573520876479
2006-12-01,2006,12,38.299887568435366,31.337558013706065
2007-01-01,2007,1,38.299887568435366,31.015416763926627
2007-02-01,2007,2,38.299887568435366,31.24777055522426
2007-03-01,2007,3,38.299887568435366,31.60370826718892
2007-04-01,2007,4,38.299887568435366,31.26518402133373
2007-05-01,2007,5,38.299887568435366,30.867292432711395
2007-06-01,2007,6,38.299887568435366,31.44953400219331
2007-07-01,2007,7,38.299887568435366,34.103590242233174
2007-08-01,2007,8,38.299887568435366,35.10806396569529
2007-09-01,2007,9,38.299887568435366,33.57628713888339
2007-10-01,2007,10,38.299887568435366,34.09988319605484
2007-11-01,2007,11,38.299887568435366,37.48383230765243
2007-12-01,2007,12,38.299887568435366,38.23001561374419
2008-01-01,2008,1,38.299887568435366,37.32766673506743
2008-02-01,2008,2,38.299887568435366,36.90922662286775
2008-03-01,2008,3,38.299887568435366,37.44470456243398
2008-04-01,2008,4,38.299887568435366,38.13822906643614
2008-05-01,2008,5,38.299887568435366,39.14510718137532
2008-06-01,2008,6,38.299887568435366,43.221763986160894
2008-07-01,2008,7,38.299887568435366,43.0388961078045
2008-08-01,2008,8,38.299887568435366,43.374586785274765
2008-09-01,2008,9,38.299887568435366,42.554470105208004
2008-10-01,2008,10,38.299887568435366,42.2151588056042
2008-11-01,2008,11,38.299887568435366,41.25608328757712
2008-12-01,2008,12,38.299887568435366,39.38383218153191
2009-01-01,2009,1,38.299887568435366,39.43323662293117
2009-02-01,2009,2,38.299887568435366,38.509182995661654
2009-03-01,2009,3,38.299887568435366,37.14573339830617
2009-04-01,2009,4,38.299887568435366,37.14877584897896
2009-05-01,2009,5,38.299887568435366,37.070343826125615
2009-06-01,2009,6,38.299887568435366,38.323178219999086
2009-07-01,2009,7,38.299887568435366,39.10944389553258
2009-08-01,2009,8,38.299887568435366,39.045978358844366
2009-09-01,2009,9,38.299887568435366,38.38522012101394
2009-10-01,2009,10,38.299887568435366,38.36977759404648
2009-11-01,2009,11,38.299887568435366,37.29077189554007
2009-12-01,2009,12,38.299887568435366,36.93730631947393
2010-01-01,2010,1,38.299887568435366,37.23059857557423
2010-02-01,2010,2,38.299887568435366,36.77618148705993
2010-03-01,2010,3,38.299887568435366,37.239610607888984
2010-04-01,2010,4,38.299887568435366,37.986497865679944
2010-05-01,2010,5,38.299887568435366,37.01766401854312
2010-06-01,2010,6,38.299887568435366,36.9025676665641
2010-07-01,2010,7,38.299887568435366,37.934576706556925
2010-08-01,2010,8,38.299887568435366,39.252204094579646
2010-09-01,2010,9,38.299887568435366,40.72153559797799
2010-10-01,2010,10,38.299887568435366,42.33850674940874
2010-11-01,2010,11,44.758760469833035,46.405647451274206
2010-12-01,2010,12,44.758760469833035,43.87120827563636
2011-01-01,2011,1,44.758760469833035,43.38997633664389
2011-02-01,2011,2,44.758760469833035,43.24494384175114
2011-03-01,2011,3,44.758760469833035,43.50379240737756
2011-04-01,2011,4,44.758760469833035,43.388798120559294
2011-05-01,2011,5,44.758760469833035,42.627454581978206
2011-06-01,2011,6,44.758760469833035,41.272993589835735
2011-07-01,2011,7,44.758760469833035,42.128725326700994
2011-08-01,2011,8,44.758760469833035,43.432023152516514
2011-09-01,2011,9,44.758760469833035,42.02724179616675
2011-10-01,2011,10,44.758760469833035,41.106516679982064
2011-11-01,2011,11,44.758760469833035,42.36921298142117
2011-12-01,2011,12,44.758760469833035,42.78973303818646
2012-01-01,2012,1,44.758760469833035,41.90238343756087
2012-02-01,2012,2,44.758760469833035,41.765684665248514
2012-03-01,2012,3,44.758760469833035,40.46734038536761
2012-04-01,2012,4,44.758760469833035,40.02965237619299
2012-05-01,2012,5,44.758760469833035,39.43047431423273
2012-06-01,2012,6,44.758760469833035,38.72452167531794
2012-07-01,2012,7,38.299887568435366,37.80372388001292
2012-08-01,2012,8,38.299887568435366,37.247924175613896
2012-09-01,2012,9,38.299887568435366,38.0888582459151
2012-10-01,2012,10,38.299887568435366,38.763339500408065
2012-11-01,2012,11,38.299887568435366,39.146553625083634
2012-12-01,2012,12,38.299887568435366,38.872833892121314
2013-01-01,2013,1,38.299887568435366,38.828497085011925
2013-02-01,2013,2,38.299887568435366,38.98893678165879
2013-03-01,2013,3,38.299887568435366,38.844099296728345
2013-04-01,2013,4,38.299887568435366,39.33505450807788
2013-05-01,2013,5,38.299887568435366,38.714344076449635
2013-06-01,2013,6,38.299887568435366,38.44134443242197
2013-07-01,2013,7,38.299887568435366,39.69493654226203
2013-08-01,2013,8,38.299887568435366,39.47843095453126
2013-09-01,2013,9,38.299887568435366,39.29560407071347
2013-10-01,2013,10,38.299887568435366,40.987152040175395
2013-11-01,2013,11,38.299887568435366,41.002622894770774
2013-12-01,2013,12,38.299887568435366,41.68753407153791
2014-01-01,2014,1,38.299887568435366,43.02707715150881
2014-02-01,2014,2,38.299887568435366,43.01689712579317
2014-03-01,2014,3,38.299887568435366,43.967005089223456
2014-04-01,2014,4,38.299887568435366,44.276767307532126
2014-05-01,2014,5,38.299887568435366,44.241988170194006
2014-06-01,2014,6,38.299887568435366,44.60439158135971
2014-07-01,2014,7,44.758760469833035,45.593635122810134
2014-08-01,2014,8,44.758760469833035,46.10934285477323
2014-09-01,2014,9,44.758760469833035,48.48599995576334
2014-10-01,2014,10,44.758760469833035,48.824531329197654
2014-11-01,2014,11,44.758760469833035,51.88192637038928
2014-12-01,2014,12,44.758760469833035,52.056410830622546
2015-01-01,2015,1,44.758760469833035,52.19756655930299
2015-02-01,2015,2,44.758760469833035,51.73993979795861
2015-03-01,2015,3,44.758760469833035,52.003591369526276
2015-04-01,2015,4,44.758760469833035,52.958266310024115
2015-05-01,2015,5,44.758760469833035,53.02084599950385
2015-06-01,2015,6,44.758760469833035,52.58033229305769
2015-07-01,2015,7,44.758760469833035,52.215238803899624
2015-08-01,2015,8,44.758760469833035,52.070784161925125
2015-09-01,2015,9,44.758760469833035,51.110128598786275
2015-10-01,2015,10,44.758760469833035,49.985902206042624
2015-11-01,2015,11,44.758760469833035,49.74240275372239
2015-12-01,2015,12,44.758760469833035,49.96583792273277
2016-01-01,2016,1,44.758760469833035,49.50581141004167
2016-02-01,2016,2,44.758760469833035,49.74668057480596
2016-03-01,2016,3,44.758760469833035,49.829910393986566
2016-04-01,2016,4,44.758760469833035,49.37973535382056
2016-05-01,2016,5,44.758760469833035,47.09704991530393
2016-06-01,2016,6,44.758760469833035,46.54046186203573
2016-07-01,2016,7,44.758760469833035,47.022320222165355
2016-08-01,2016,8,44.758760469833035,46.556076315865155
2016-09-01,2016,9,44.758760469833035,46.746755631509174
2016-10-01,2016,10,44.758760469833035,47.43888312376057
2016-11-01,2016,11,44.758760469833035,47.44509712322117
2016-12-01,2016,12,44.758760469833035,46.703163595301305
2017-01-01,2017,1,44.758760469833035,46.52402552712257
2017-02-01,2017,2,44.758760469833035,45.88039652778275
2017-03-01,2017,3,44.758760469833035,45.30086798285542
2017-04-01,2017,4,44.758760469833035,45.11942966198898
2017-05-01,2017,5,44.758760469833035,44.83260339675737
2017-06-01,2017,6,44.758760469833035,43.18034847071348
2017-07-01,2017,7,44.758760469833035,42.54097003492693
2017-08-01,2017,8,44.758760469833035,42.71957485162208
2017-09-01,2017,9,44.758760469833035,46.91524065424434
2017-10-01,2017,10,44.758760469833035,45.74904603222304
2017-11-01,2017,11,44.758760469833035,45.121017315393104
2017-12-01,2017,12,44.758760469833035,45.02329678176139
